code	path
  98	../../N64 - EU/GameBooster 64 (Europe) (v1.1) (Unl).n64
4 99	../../N64 - EU/Action Replay Pro 64 (Europe) (v3.0) (Unl).n64
CD6Z	../../N64 - Translations/Densha de Go! 64 (Japan) [T-En by Zoinkity v1.01].z64
CDZE	../../N64 - Translations/Dezaemon 3D (J) [!]-patched.z64
CPSJ	../../N64 - JP/Pokemon Stadium (Japan).z64
CPYE	../../N64 - Translations/Puyo Puyo Sun 64 (Japan) [T-En by Zoinkity v1.1].z64
N4WX	../../N64 - EU/40 Winks (Europe) (En,Es,It) (Proto).n64
NAFE	../../N64 - Translations/Animal Forest (Japan) [T-En by Zoinkity v021210] [i] [n].z64
NBDJ	../../N64 - JP/Bomberman Hero - Mirian Oujo o Sukue! (Japan).z64
NCGE	../../N64 - Translations/Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan) [T-En by Zoinkity v1.0].z64
NCGJ	../../N64 - JP/Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan).z64
NCTA	../../N64 - Translations/Chameleon Twist (Japan) [T-En by Zoinkity v1.0].z64
NCVE	../../N64 - Translations/Cubivore (Japan) (Proto) [T-En by Zoinkity v1.0] [n].z64
NCXE	../../N64 - Translations/Custom Robo (Japan) [T-En by Star Trinket v1.0].z64
NDDJ	../../N64 - Translations/Doshin the Giant 1 (Japan) (64DD) [Hack by Zoinkity v1.1] [T-En by Ozidual v2018-06] [i] [n].z64
NDDJ	../../N64 - Translations/Mario Artist - Paint Studio (Japan) (64DD) [Hack by Zoinkity v1.2] [T-En by LuigiBlood & Cauterize v2.1].z64
NDDJ	../../N64 - Translations/Mario Artist - Polygon Studio (Japan) (64DD) [Hack by Zoinkity v1.2] [T-En by LuigiBlood v3.0].z64
NDDJ	../../N64 - Translations/Mario Artist - Talent Studio (Japan) (64DD) [T-En by LuigiBlood v2.1].z64
NDDJ	../../N64 - Translations/SimCity 64 (Japan) (64DD) [Hack by Zoinkity v1.1] [T-En by Ozidual v0.6.38].z64
NDSE	../../N64 - Translations/J.League Dynamite Soccer 64 (Japan) [T-En by Zoinkity v1.0].z64
NEDE	../../N64 - Aftermarket/Mario Kart 64 Amped Up.z64
NF2P	../../N64 - EU/F-1 World Grand Prix II (Europe) (En,Fr,De,Es).n64
NF2P	../../N64 - EU/F1_World_Grand_Prix2(E).v64
NGEJ	../../N64 - JP/GoldenEye 007 (Japan).z64
NGEP	../../N64 - EU/007 - GoldenEye (Europe).n64
NGLJ	../../N64 - JP/Getter Love!! - Cho Renai Party Game Tanjou (Japan).z64
NGLJ	../../N64 - Translations/Getter Love!! - Panda Love Unit (Japan) [T-En by Ozidual & Wid v1.01] [n].z64
NGUE	../../N64 - Translations/Tsumi to Batsu - Hoshi no Keishousha (Japan) [T-En by Zoinkity v1.0].z64
NGUE	../../N64 - USA/Sin and Punishment - Successor of the Earth (U) [!].z64
NHAE	../../N64 - JP/Bomberman 64 (Japan) [T-En by Zoinkity v1.2].z64
NHAE	../../N64 - JP/Bomberman 64 (Japan) [T-En by Zoinkity v1.3].z64
NHAE	../../N64 - Translations/Bomberman 64 (Japan) [T-En by Zoinkity v1.3].z64
NHAJ	../../N64 - JP/Bomberman 64 (Japan).z64
NHBE	../../N64 - Translations/Ninja Boy Rantarou 64 Game Gallery (Japan) [T-En by Zoinkity v1.0] [n].z64
NHPE	../../N64 - Translations/Heiwa Pachinko World 64 (Japan) [T-En by Zoinkity v1.0].z64
NJLE	../../N64 - Translations/J.League Live 64 (Japan) [T-En by Zoinkity v1.0].z64
NKEJ	../../N64 - JP/Knife Edge - Nose Gunner (Japan).z64
NLLE	../../N64 - JP/Last Legion UX (Japan) [T-En by Zoinkity v1.0].z64
NLLE	../../N64 - Translations/Last Legion UX (Japan) [T-En by Zoinkity v1.0].z64
NM9E	../../N64 - Translations/Masters '98 - Augusta National Golf Club (Japan) [T-En by Zoinkity v1.0] [n].z64
NMPE	../../N64 - Translations/Mario's Photo Studio (Japan) [T-En by Zoinkity v1.0] [Old Art] [n].z64
NMPE	../../N64 - Translations/Mario's Photo Studio (Japan) [T-En by Zoinkity v1.0] [n].z64
NPFJ	../../N64 - JP/Pokemon Snap (Japan).z64
NPHE	../../N64 - USA/Pokemon Snap Station (USA) (Promo).n64
NPTJ	../../N64 - JP/Puyo Puyoon Party (Japan).z64
NR7J	../../N64 - JP/Robot Ponkottsu 64 - Caramel of the 7 Seas (J) [!].v64
NS3E	../../N64 - Translations/AI Shougi 3 (Japan) [T-En by GammaTrove v1.0].z64
NSIE	../../N64 - Translations/Shiren the Wanderer 2 - Oni Invasion! Shiren Castle! (Japan) [T-En by SharkSnack & Ozidual & KmbTos v1.02] [n].z64
NSTE	../../N64 - Translations/St. Andrews Old Course (Japan) [T-En by Zoinkity v1.0] [n].z64
NTDE	../../N64 - USA/O.D.T. (USA) (En,Fr,Es) (Proto).z64
NTDP	../../N64 - EU/O.D.T. (Europe) (En,Fr,De,Es,It) (Proto).n64
NTEA	../../N64 - JP/1080 Snowboarding (JU) [!].z64
NVPE	../../N64 - Translations/Virtual Pro Wrestling 64 (Japan) [T-En by Star Trinket v1.77 beta].z64
NWRJ	../../N64 - JP/Wave Race 64 - Kawasaki Jet Ski (Japan).z64
ZCAE	../../N64 - Translations/Magical Tetris Challenge (Japan) (Aleck 64) [T-En by Zoinkity v1.1] [n].z64
ZSCA	../../N64 - Translations/Blitz Shogi 3 Championship Series (Japan) (Aleck64) [T-En by Zoinkity v1.0] [n].z64
