playlist,entries_total,entries_missing,status
playlists/personal/By Year/00 All Years.m3u,581,0,ok
playlists/personal/By Year/1995.m3u,0,0,ok
playlists/personal/By Year/1996.m3u,19,0,ok
playlists/personal/By Year/1997.m3u,83,0,ok
playlists/personal/By Year/1998.m3u,154,0,ok
playlists/personal/By Year/1999.m3u,184,0,ok
playlists/personal/By Year/2000.m3u,115,0,ok
playlists/personal/By Year/2001.m3u,25,0,ok
playlists/personal/By Year/2002.m3u,1,0,ok
playlists/personal/Custom/Arcade Quick Hits.m3u,9,0,ok
playlists/personal/Custom/Chill Vibes.m3u,10,0,ok
playlists/personal/Custom/Couch Party Night.m3u,14,0,ok
playlists/personal/Custom/FPS Showcase.m3u,12,0,ok
playlists/personal/Custom/N64 Essentials.m3u,12,0,ok
playlists/personal/Custom/Temp Broken QA Playlist.m3u,3,0,ok
playlists/personal/Custom/Temp QA Playlist.m3u,5,0,ok
playlists/personal/Fun/Adrenaline Rush.m3u,18,0,ok
playlists/personal/Fun/Couch Chaos.m3u,20,0,ok
playlists/personal/Fun/Instant Fun (No Setup).m3u,19,0,ok
playlists/personal/Fun/Late-Night Chill.m3u,19,0,ok
playlists/personal/Fun/N64 Weirdcore.m3u,15,0,ok
playlists/personal/Fun/Nostalgia Cannon.m3u,19,0,ok
playlists/personal/Fun/One More Try.m3u,20,0,ok
playlists/personal/Fun/Skill Check.m3u,18,0,ok
playlists/personal/Fun/Story Night.m3u,20,0,ok
playlists/personal/Fun/Underrated Gems.m3u,17,0,ok
playlists/personal/Genres/Action.m3u,30,0,ok
playlists/personal/Genres/Adventure.m3u,8,0,ok
playlists/personal/Genres/Beat'em Up.m3u,4,0,ok
playlists/personal/Genres/Board game.m3u,7,0,ok
playlists/personal/Genres/Compilation.m3u,2,0,ok
playlists/personal/Genres/Fighting.m3u,20,0,ok
playlists/personal/Genres/Gambling.m3u,5,0,ok
playlists/personal/Genres/Hunting and Fishing.m3u,3,0,ok
playlists/personal/Genres/Music and Dance.m3u,2,0,ok
playlists/personal/Genres/Platform.m3u,32,0,ok
playlists/personal/Genres/Puzzle.m3u,16,0,ok
playlists/personal/Genres/Quiz.m3u,1,0,ok
playlists/personal/Genres/Racing.m3u,55,0,ok
playlists/personal/Genres/Role-playing (RPG).m3u,19,0,ok
playlists/personal/Genres/SHMUP.m3u,6,0,ok
playlists/personal/Genres/Shoot'em Up.m3u,7,0,ok
playlists/personal/Genres/Shooter.m3u,29,0,ok
playlists/personal/Genres/Simulation.m3u,12,0,ok
playlists/personal/Genres/Sports with Animals.m3u,2,0,ok
playlists/personal/Genres/Sports.m3u,88,0,ok
playlists/personal/Genres/Strategy.m3u,8,0,ok
playlists/personal/Genres/Various.m3u,1,0,ok
playlists/personal/History/00 All History.m3u,6,0,ok
playlists/personal/History/1996 Launch Era.m3u,9,0,ok
playlists/personal/History/64DD Legacy and Conversions.m3u,8,0,ok
playlists/personal/History/Expansion Pak Showcase.m3u,11,0,ok
playlists/personal/History/Japan Essentials.m3u,10,0,ok
playlists/personal/History/Late Generation 2000-2001.m3u,8,0,ok
playlists/personal/History/Rare on N64.m3u,9,0,ok
playlists/personal/Ranked/Graphics Showcase (GameRant Expansion Pak).m3u,15,0,ok
playlists/personal/Ranked/Graphics Showcase (GameRant+NintendoLife).m3u,15,0,ok
playlists/personal/Ranked/Hidden Gems (DenOfGeek).m3u,9,0,ok
playlists/personal/Ranked/Hidden Gems (Racketboy).m3u,12,0,ok
playlists/personal/Ranked/Hidden Gems (Racketboy+DenOfGeek).m3u,15,0,ok
playlists/personal/Ranked/Top 10 FPS (GameRant).m3u,10,0,ok
playlists/personal/Ranked/Top 10 Platformers (NintendoLife-Derived).m3u,10,0,ok
playlists/personal/Ranked/Top 15 Action-Adventure (TheGamer-Derived).m3u,15,0,ok
playlists/personal/Ranked/Top 15 Multiplayer (TheGamer).m3u,15,0,ok
playlists/personal/Ranked/Top 15 Racing (NintendoLife).m3u,15,0,ok
playlists/personal/Ranked/Top 25 N64 (GamesRadar).m3u,25,0,ok
playlists/personal/Studios/00 All Studios.m3u,92,0,ok
playlists/personal/Studios/3DO.m3u,7,0,ok
playlists/personal/Studios/AKI Corporation.m3u,2,0,ok
playlists/personal/Studios/ASCII Corporation.m3u,3,0,ok
playlists/personal/Studios/Acclaim Studios Austin.m3u,3,0,ok
playlists/personal/Studios/Acclaim.m3u,30,0,ok
playlists/personal/Studios/Activision.m3u,6,0,ok
playlists/personal/Studios/Aki Corp..m3u,3,0,ok
playlists/personal/Studios/Angel Studios.m3u,1,0,ok
playlists/personal/Studios/Atari Games (Midway).m3u,5,0,ok
playlists/personal/Studios/Avalanche Software.m3u,4,0,ok
playlists/personal/Studios/Bandai.m3u,2,0,ok
playlists/personal/Studios/Banpresto.m3u,2,0,ok
playlists/personal/Studios/Boss Game Studios.m3u,3,0,ok
playlists/personal/Studios/Bottom Up Interactive.m3u,3,0,ok
playlists/personal/Studios/Camelot Software Planning.m3u,2,0,ok
playlists/personal/Studios/Capcom.m3u,3,0,ok
playlists/personal/Studios/Codemasters.m3u,2,0,ok
playlists/personal/Studios/Compile.m3u,2,0,ok
playlists/personal/Studios/Crave Entertainment.m3u,3,0,ok
playlists/personal/Studios/Culture Brain.m3u,4,0,ok
playlists/personal/Studios/DMA Design.m3u,2,0,ok
playlists/personal/Studios/EA Canada.m3u,4,0,ok
playlists/personal/Studios/EA Sports.m3u,7,0,ok
playlists/personal/Studios/EA Tiburon.m3u,2,0,ok
playlists/personal/Studios/Edge of Reality.m3u,5,0,ok
playlists/personal/Studios/Electronic Arts.m3u,9,0,ok
playlists/personal/Studios/Eurocom Entertainment Software.m3u,8,0,ok
playlists/personal/Studios/Factor 5.m3u,2,0,ok
playlists/personal/Studios/GT Interactive.m3u,16,0,ok
playlists/personal/Studios/Gaga.m3u,4,0,ok
playlists/personal/Studios/GameTek.m3u,1,0,ok
playlists/personal/Studios/Genki.m3u,2,0,ok
playlists/personal/Studios/Gratuitous Games.m3u,2,0,ok
playlists/personal/Studios/Gremlin Interactive.m3u,2,0,ok
playlists/personal/Studios/H2O Interactive.m3u,3,0,ok
playlists/personal/Studios/HAL Labs.m3u,2,0,ok
playlists/personal/Studios/High Voltage Software.m3u,4,0,ok
playlists/personal/Studios/Hudson.m3u,11,0,ok
playlists/personal/Studios/Iguana Entertainment.m3u,12,0,ok
playlists/personal/Studios/Imagineer.m3u,5,0,ok
playlists/personal/Studios/Infogrames.m3u,10,0,ok
playlists/personal/Studios/Interplay.m3u,2,0,ok
playlists/personal/Studios/Japan System Supply.m3u,2,0,ok
playlists/personal/Studios/KCEK.m3u,2,0,ok
playlists/personal/Studios/Kemco.m3u,14,0,ok
playlists/personal/Studios/Kodiak Interactive.m3u,1,0,ok
playlists/personal/Studios/Konami Computer Entertainment Osaka.m3u,12,0,ok
playlists/personal/Studios/Konami.m3u,31,0,ok
playlists/personal/Studios/Left Field Productions.m3u,2,0,ok
playlists/personal/Studios/Locomotive Corporation.m3u,2,0,ok
playlists/personal/Studios/Looking Glass Studios.m3u,2,0,ok
playlists/personal/Studios/LucasArts.m3u,1,0,ok
"playlists/personal/Studios/Luxoflux, Inc..m3u",0,0,ok
playlists/personal/Studios/MBL Research.m3u,2,0,ok
playlists/personal/Studios/Mass Media.m3u,5,0,ok
playlists/personal/Studios/Midway Studios - San Diego.m3u,2,0,ok
playlists/personal/Studios/Midway.m3u,19,0,ok
playlists/personal/Studios/Natsume.m3u,3,0,ok
playlists/personal/Studios/Nintendo.m3u,74,0,ok
playlists/personal/Studios/NuFX.m3u,2,0,ok
playlists/personal/Studios/Ocean.m3u,5,0,ok
playlists/personal/Studios/Pacific Coast Power & Light.m3u,2,0,ok
playlists/personal/Studios/Paradigm Entertainment.m3u,4,0,ok
playlists/personal/Studios/Player 1.m3u,4,0,ok
playlists/personal/Studios/Point of View.m3u,3,0,ok
playlists/personal/Studios/Probe Entertainment Limited.m3u,2,0,ok
playlists/personal/Studios/Psygnosis.m3u,2,0,ok
playlists/personal/Studios/Racdym.m3u,2,0,ok
playlists/personal/Studios/Rare.m3u,14,0,ok
playlists/personal/Studios/Rareware.m3u,4,0,ok
playlists/personal/Studios/Realtime Associates.m3u,4,0,ok
playlists/personal/Studios/SETA Corporation.m3u,4,0,ok
playlists/personal/Studios/Saffire.m3u,5,0,ok
playlists/personal/Studios/Snowblind Studios.m3u,2,0,ok
playlists/personal/Studios/Software Creations.m3u,3,0,ok
playlists/personal/Studios/Southpeak Interactive.m3u,2,0,ok
playlists/personal/Studios/Stormfront Studios.m3u,3,0,ok
playlists/personal/Studios/Sunsoft.m3u,3,0,ok
playlists/personal/Studios/THQ.m3u,12,0,ok
playlists/personal/Studios/Taito.m3u,2,0,ok
playlists/personal/Studios/Takara.m3u,2,0,ok
playlists/personal/Studios/Titus Software.m3u,4,0,ok
playlists/personal/Studios/Titus.m3u,5,0,ok
playlists/personal/Studios/Treyarch.m3u,2,0,ok
playlists/personal/Studios/UFO Interactive.m3u,2,0,ok
playlists/personal/Studios/Ubisoft Montpellier.m3u,2,0,ok
playlists/personal/Studios/Ubisoft.m3u,14,0,ok
playlists/personal/Studios/Unknown.m3u,28,0,ok
playlists/personal/Studios/VIS Entertainment.m3u,2,0,ok
playlists/personal/Studios/Video System.m3u,3,0,ok
playlists/personal/Studios/Virgin Interactive.m3u,3,0,ok
"playlists/personal/Studios/Z-Axis, Ltd..m3u",1,0,ok
