requested_title,requested_root,reason,best_candidate,best_root
Battlezone - Rise of the Black Dogs (USA),N64 - USA,low-score,sd:/N64 - USA/Batman Beyond - Return of the Joker (USA).z64,N64 - USA
Bottom of the 9th (USA),N64 - USA,low-score,sd:/N64 - USA/Banjo-Tooie (USA).z64,N64 - USA
Clay Fighter - Sculptor's Cut (USA),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Frogger 2 (USA) (Rev A) (Proto),N64 - USA,ambiguous,sd:/N64 - USA/Airboarder 64 (Europe).z64,N64 - USA
Glover 2 (USA) (Proto),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
"Hey You, Pikachu! (USA)",N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Jeopardy! (U) [!],N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Jeopardy! (USA),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Ken Griffey Jr.'s Slugfest (USA),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Madden NFL 2000 (USA),N64 - USA,low-score,sd:/N64 - USA/Madden Football 64 (USA).z64,N64 - USA
Madden NFL 2001 (USA),N64 - USA,low-score,sd:/N64 - USA/Madden Football 64 (USA).z64,N64 - USA
Madden NFL 2002 (USA),N64 - USA,low-score,sd:/N64 - USA/Madden Football 64 (USA).z64,N64 - USA
Major League Baseball featuring Ken Griffey Jr. (USA),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
"Mia Hamm Soccer 64 (USA) (En,Es)",N64 - USA,low-score,"sd:/N64 - USA/FIFA Soccer 64 (USA) (En,Fr,De).z64",N64 - USA
Midway's Greatest Arcade Hits Volume 1 (U) [!],N64 - USA,low-score,sd:/N64 - USA/Wayne Gretzky's 3D Hockey (USA) (Rev 1).z64,N64 - USA
NFL Quarterback Club 2001 (U) [!],N64 - USA,low-score,sd:/N64 - USA/NFL Quarterback Club 2000 (USA).z64,N64 - USA
Nightmare Creatures (USA),N64 - USA,low-score,sd:/N64 - USA/Centre Court Tennis (Europe).z64,N64 - USA
Polaris SnoCross (USA),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
"Powerpuff Girls, The - Chemical X-Traction (USA)",N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Space Invaders (U) [!],N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Star Wars - Shadows of the Empire (U) (V1.2) [!],N64 - USA,ambiguous,sd:/N64 - USA/Blast Corps (USA) (Rev 1).z64,N64 - USA
Vigilante 8 (U) [!],N64 - USA,low-score,sd:/N64 - USA/Gauntlet Legends (USA).z64,N64 - USA
Vigilante 8 - 2nd Offense (U) [!],N64 - USA,low-score,sd:/N64 - USA/Gauntlet Legends (USA).z64,N64 - USA
Waialae Country Club - True Golf Classics (U) [!],N64 - USA,low-score,sd:/N64 - USA/Castlevania - Legacy of Darkness (USA).z64,N64 - USA
WCW Mayhem (U) [!],N64 - USA,low-score,sd:/N64 - USA/WWF Attitude (USA).z64,N64 - USA
Sin and Punishment - Successor of the Earth (U) [!],N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
Mini Racers (USA) (Proto),N64 - USA,ambiguous,sd:/N64 - USA/Airboarder 64 (Europe).z64,N64 - USA
Robotech - Crystal Dreams (USA) (Proto),N64 - USA,ambiguous,"sd:/N64 - USA/1080 Snowboarding (Japan, USA) (En,Ja).z64",N64 - USA
